siteId,Time,traffic_count
1011,2020-02-03,53425.0
1011,2020-02-10,54979.42857142857
1011,2020-02-17,56062.857142857145
1011,2020-02-24,56570.42857142857
1011,2020-03-02,57157.0
1011,2020-03-09,53206.857142857145
1011,2020-03-16,44588.142857142855
1011,2020-03-23,25979.14285714286
1011,2020-03-30,13539.42857142857
1011,2020-04-06,8917.285714285714
1011,2020-04-13,7431.714285714285
1011,2020-04-20,8275.42857142857
1011,2020-04-27,8776.0
1011,2020-05-04,8433.285714285714
1011,2020-05-11,10393.857142857143
1011,2020-05-18,11351.0
1011,2020-05-25,13336.57142857143
1011,2020-06-01,13331.42857142857
1011,2020-06-08,15243.714285714286
1011,2020-06-15,16687.285714285714
1011,2020-06-22,12506.0
1011,2020-06-29,19433.14285714286
1011,2020-07-06,24360.285714285714
1011,2020-07-13,24800.14285714286
1011,2020-07-20,25713.0
1011,2020-07-27,26340.571428571428
1011,2020-08-03,26566.85714285714
1011,2020-08-10,28109.85714285714
1011,2020-08-17,28720.571428571428
1011,2020-08-24,27996.285714285714
1011,2020-08-31,28553.85714285714
1011,2020-09-07,28475.285714285714
1011,2020-09-14,28314.428571428572
1011,2020-09-21,27549.428571428572
1011,2020-09-28,27030.0
1011,2020-10-05,26056.714285714286
1011,2020-10-12,24451.285714285714
1011,2020-10-19,20308.0
1011,2020-10-26,18620.571428571428
1011,2020-11-02,20583.428571428572
1011,2020-11-09,20530.571428571428
1011,2020-11-16,20620.14285714286
1011,2020-11-23,19868.571428571428
1011,2020-11-30,20695.571428571428
1011,2020-12-07,25570.714285714286
1011,2020-12-14,27003.285714285714
1011,2020-12-21,32917.71428571428
1011,2020-12-28,21589.85714285714
1011,2021-01-04,21563.14285714286
1011,2021-01-11,22132.714285714286
1011,2021-01-18,18320.14285714286
1011,2021-01-25,17011.14285714286
1011,2021-02-01,16799.285714285714
1011,2021-02-08,16486.85714285714
1011,2021-02-15,16710.0
1011,2021-02-22,16344.42857142857
1011,2021-03-01,16961.0
1011,2021-03-08,17390.571428571428
1011,2021-03-15,17800.85714285714
1011,2021-03-22,16547.85714285714
1011,2021-03-29,18664.285714285714
1011,2021-04-05,17682.85714285714
1011,2021-04-12,18781.285714285714
1011,2021-04-19,19706.85714285714
1011,2021-04-26,20054.714285714286
1011,2021-05-03,20593.14285714286
1011,2021-05-10,21071.0
1011,2021-05-17,22015.85714285714
1011,2021-05-24,22822.0
1011,2021-05-31,23864.714285714286
1011,2021-06-07,25526.0
1011,2021-06-14,26185.285714285714
1011,2021-06-21,27237.14285714286
1011,2021-06-28,27981.285714285714
1011,2021-07-05,29745.571428571428
1011,2021-07-12,29868.285714285714
1011,2021-07-19,34011.57142857143
1011,2021-07-26,39519.71428571428
1011,2021-08-02,41415.857142857145
1011,2021-08-09,42135.142857142855
1011,2021-08-16,44089.42857142857
1011,2021-08-23,45308.0
1011,2021-08-30,46182.71428571428
1011,2021-09-06,46465.142857142855
1011,2021-09-13,47873.57142857143
1011,2021-09-20,48394.857142857145
1011,2021-09-27,47477.857142857145
1011,2021-10-04,45763.666666666664
1014,2020-02-03,123852.66666666667
1014,2020-02-10,132290.7142857143
1014,2020-02-17,132040.2857142857
1014,2020-02-24,134383.42857142858
1014,2020-03-02,135063.85714285713
1014,2020-03-09,133876.0
1014,2020-03-16,112406.0
1014,2020-03-23,77747.85714285714
1014,2020-03-30,53523.28571428572
1014,2020-04-06,36070.0
1014,2020-04-13,30867.571428571428
1014,2020-04-20,36465.71428571428
1014,2020-04-27,38436.0
1014,2020-05-04,36354.42857142857
1014,2020-05-11,44807.857142857145
1014,2020-05-18,49906.42857142857
1014,2020-05-25,62715.857142857145
1014,2020-06-01,63276.0
1014,2020-06-08,72508.14285714286
1014,2020-06-15,83744.42857142857
1014,2020-06-22,87223.71428571429
1014,2020-06-29,90861.85714285714
1014,2020-07-06,97757.57142857143
1014,2020-07-13,100016.85714285714
1014,2020-07-20,102283.85714285714
1014,2020-07-27,101820.42857142857
1014,2020-08-03,100529.28571428571
1014,2020-08-10,104999.14285714286
1014,2020-08-17,104009.42857142857
1014,2020-08-24,102939.0
1014,2020-08-31,103618.14285714286
1014,2020-09-07,103694.85714285714
1014,2020-09-14,104836.42857142857
1014,2020-09-21,101152.71428571429
1014,2020-09-28,96857.14285714286
1014,2020-10-05,97099.57142857143
1014,2020-10-12,92728.14285714286
1014,2020-10-19,77585.42857142857
1014,2020-10-26,73873.71428571429
1014,2020-11-02,75032.42857142857
1014,2020-11-09,79912.0
1014,2020-11-16,81937.71428571429
1014,2020-11-23,83060.14285714286
1014,2020-11-30,85365.14285714286
1014,2020-12-07,99469.28571428571
1014,2020-12-14,102839.71428571429
1014,2020-12-21,111327.57142857143
1014,2020-12-28,72884.14285714286
1014,2021-01-04,58419.28571428572
1014,2021-01-11,67553.85714285714
1014,2021-01-18,62384.142857142855
1014,2021-01-25,62621.28571428572
1014,2021-02-01,63939.42857142857
1014,2021-02-08,65314.28571428572
1014,2021-02-15,66024.0
1014,2021-02-22,68632.85714285714
1014,2021-03-01,71103.85714285714
1014,2021-03-08,74010.0
1014,2021-03-15,63528.71428571428
1014,2021-03-22,69387.71428571429
1014,2021-03-29,77824.14285714286
1014,2021-04-05,70698.71428571429
1014,2021-04-12,79314.57142857143
1014,2021-04-19,90501.42857142857
1014,2021-04-26,93068.57142857143
1014,2021-05-03,88550.85714285714
1014,2021-05-10,94728.0
1014,2021-05-17,100623.28571428571
1014,2021-05-24,102080.71428571429
1014,2021-05-31,107664.71428571429
